f_MHz,S11_dB,Re_Zin,Im_Zin
2.744544000000000210e+02,-9.249822479948703602e-02,3.010452256640691049e-01,1.808122234879545687e+01
2.746713599999999929e+02,-9.286448425329178746e-02,3.022050452481128135e-01,1.807289309404609767e+01
2.748883200000000215e+02,-9.256050313522438955e-02,3.011841340907548403e-01,1.806466437317671136e+01
2.751052799999999934e+02,-9.159369719600103654e-02,2.980080331123062809e-01,1.805672793980527757e+01
2.753222400000000221e+02,-8.997672809202836297e-02,2.927192525992999839e-01,1.804927153561450481e+01
2.755391999999999939e+02,-8.772735112876764441e-02,2.853767150723039991e-01,1.804247736258044199e+01
2.757561600000000226e+02,-8.486821718740317211e-02,2.760550565258906852e-01,1.803652063215509571e+01
2.759731199999999944e+02,-8.142663170004874051e-02,2.648437972390782491e-01,1.803156820503355817e+01
2.761900800000000231e+02,-7.743427407214316383e-02,2.518463946984986213e-01,1.802777733338313837e+01
2.764070399999999950e+02,-7.292688140598820035e-02,2.371791922275899855e-01,1.802529451552560502e+01
2.766240000000000236e+02,-6.794390074753521580e-02,2.209702776628424681e-01,1.802425447110912771e+01
2.768409599999999955e+02,-6.252811435325776601e-02,2.033582668597044008e-01,1.802477924282439048e+01
2.770579200000000242e+02,-5.672524265577068986e-02,1.844910269655197776e-01,1.802697742876570075e+01
2.772748799999999960e+02,-5.058352969419646628e-02,1.645243542733108577e-01,1.803094354765296714e+01
2.774918400000000247e+02,-4.415331577413933450e-02,1.436206211011406275e-01,1.803675753735726417e+01
2.777087999999999965e+02,-3.748660203669045010e-02,1.219474055503450560e-01,1.804448438553878020e+01
2.779257600000000252e+02,-3.063661145713113612e-02,9.967611722450303580e-02,1.805417388974091963e+01
2.781427199999999971e+02,-2.365735056859450541e-02,7.698063106550220858e-02,1.806586054301018152e+01
2.783596800000000258e+02,-1.660317592892217656e-02,5.403594043418389475e-02,1.807956354002702426e+01
2.785766399999999976e+02,-9.528369026835818364e-03,3.101683945124222505e-02,1.809528689786088762e+01
2.787936000000000263e+02,-2.486722974752323366e-03,8.096643475720840047e-03,1.811301968478282021e+01
2.790105599999999981e+02,4.468856036414053413e-03,-1.455404455764052613e-02,1.813273635009000628e+01
2.792275200000000268e+02,1.128672992184535928e-02,-3.676851534227208729e-02,1.815439714759394718e+01
2.794444799999999987e+02,1.791689030473632427e-02,-5.838507641972685847e-02,1.817794864528748988e+01
2.796614400000000273e+02,2.431129867944619924e-02,-7.924811289392033609e-02,1.820332431371498316e+01
2.798783999999999992e+02,3.042420362796112443e-02,-9.920908203063932840e-02,1.823044518570435457e+01
2.800953600000000279e+02,3.621243390528892242e-02,-1.181274389426887894e-01,1.825922058034896978e+01
2.803123199999999997e+02,4.163566650586673912e-02,-1.358714912642215999e-01,1.828954888444082982e+01
2.805292800000000284e+02,4.665666908638934490e-02,-1.523191813014360407e-01,1.832131838491788400e+01
2.807462400000000002e+02,5.124151635215777600e-02,-1.673587946232510670e-01,1.835440814628315920e+01
2.809631999999999721e+02,5.535978020931199561e-02,-1.808895944129991773e-01,1.838868892735570171e+01
2.811801600000000008e+02,5.898469364952407812e-02,-1.928223811641799623e-01,1.842402413210713163e+01
2.813971199999999726e+02,6.209328846384108008e-02,-2.030799774658404722e-01,1.846027078970231372e+01
2.816140800000000013e+02,6.466650698327638946e-02,-2.115976377041189072e-01,1.849728055918285108e+01
2.818310399999999731e+02,6.668928811783410293e-02,-2.183233825209228984e-01,1.853490075449932206e+01
2.820480000000000018e+02,6.815062801604789000e-02,-2.232182578301361853e-01,1.857297538579712182e+01
2.822649599999999737e+02,6.904361569752304195e-02,-2.262565181140910042e-01,1.861134621298730707e+01
2.824819200000000023e+02,6.936544402597800973e-02,-2.274257336251773731e-01,1.864985380768260370e+01
2.826988799999999742e+02,6.911739639537467506e-02,-2.267268210212534663e-01,1.868833861955237907e+01
2.829158400000000029e+02,6.830480949702680271e-02,-2.241739968719957399e-01,1.872664204303904611e+01
2.831327999999999747e+02,6.693701253189314471e-02,-2.197946534243979955e-01,1.876460748020440406e+01
2.833497600000000034e+02,6.502724322776382015e-02,-2.136291560044327464e-01,1.880208139522554589e+01
2.835667199999999752e+02,6.259254102352890259e-02,-2.057305614866447030e-01,1.883891435576137496e+01
2.837836800000000039e+02,5.965361779448689894e-02,-1.961642573901528630e-01,1.887496205606511523e+01
2.840006399999999758e+02,5.623470651771093204e-02,-1.850075213729646673e-01,1.891008631634357684e+01
2.842176000000000045e+02,5.236338831644055114e-02,-1.723490011990542747e-01,1.894415605247789358e+01
2.844345599999999763e+02,4.807039838341740923e-02,-1.582881156620763452e-01,1.897704820983687668e+01
2.846515200000000050e+02,4.338941136051290698e-02,-1.429343774479624463e-01,1.900864865455622166e+01
2.848684799999999768e+02,3.835680685579232613e-02,-1.264066395326215175e-01,1.903885301534474550e+01
2.850854400000000055e+02,3.301141590147141369e-02,-1.088322674086043551e-01,1.906756746862690477e+01
2.853023999999999774e+02,2.739424930281365855e-02,-9.034624022856596604e-02,1.909470945967028399e+01
2.855193600000000060e+02,2.154820899518288327e-02,-7.109018482099678515e-02,1.912020835228332061e+01
2.857363199999999779e+02,1.551778371293135485e-02,-5.121134746377308672e-02,1.914400599973275519e+01
2.859532800000000066e+02,9.348730477119232551e-03,-3.086150927428254337e-02,1.916605722972531112e+01
2.861702399999999784e+02,3.087743625307786885e-03,-1.019585206837979492e-02,1.918633023664770931e+01
2.863872000000000071e+02,-3.217886669078565218e-03,1.062821747099838149e-02,1.920480687476014836e+01
2.866041599999999789e+02,-9.520624211293080355e-03,3.145227651220795784e-02,1.922148284670708662e+01
