f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
8.405144000000000233e+02,1.755564771260994084e+00,6.905856771412877038e+01,-1.049380278726411930e+01,-4.947538765567619379e+01,-1.011975853997331143e+01,-5.031649994256386549e+01,5.276165712300538502e+01,-3.486607037761042704e+01
8.409485499999999547e+02,1.774243454682958632e+00,6.911797117098294052e+01,-1.056665815286160814e+01,-4.954476773276790169e+01,-1.021039501038846709e+01,-5.039592656111931035e+01,5.311212030617764412e+01,-3.452311534940918847e+01
8.413826999999999998e+02,1.793378892605140607e+00,6.917747593033699616e+01,-1.064091096855998231e+01,-4.961533799363544261e+01,-1.030297695350351717e+01,-5.047547284906410425e+01,5.346930241327238065e+01,-3.417420351694667602e+01
8.418168500000000449e+02,1.812982070275805713e+00,6.923707352016954530e+01,-1.071666540014133950e+01,-4.968709723472375117e+01,-1.039753938731275795e+01,-5.055510647884324982e+01,5.383374520660882467e+01,-3.381935179064186059e+01
8.422509999999999764e+02,1.833064031343451861e+00,6.929675528714594179e+01,-1.079402793036707386e+01,-4.976003983456035940e+01,-1.049411806365931099e+01,-5.063479532414602602e+01,5.420600035875825284e+01,-3.345860099456415782e+01
8.426851500000000215e+02,1.853635904568899706e+00,6.935651239092351261e+01,-1.087310722693496245e+01,-4.983415564314488932e+01,-1.059274966073012436e+01,-5.071450740057338180e+01,5.458662865467083236e+01,-3.309201626769981175e+01
8.431192999999999529e+02,1.874708931299442050e+00,6.941633579533555576e+01,-1.095401401436643418e+01,-4.990942987734848657e+01,-1.069347197659882731e+01,-5.079421078744181983e+01,5.497619922687572824e+01,-3.271968742627280591e+01
8.435534499999999980e+02,1.896294493505763290e+00,6.947621625635622422e+01,-1.103686095077008567e+01,-4.998584302114660716e+01,-1.079632412264197683e+01,-5.087387353049234662e+01,5.537528882894365267e+01,-3.234172929434119226e+01
8.439876000000000431e+02,1.918404142189678252e+00,6.953614430675645508e+01,-1.112176251030331819e+01,-5.006337072936993593e+01,-1.090134671568590008e+01,-5.095346352532742173e+01,5.578448115159999787e+01,-3.195828201058851548e+01
8.444217499999999745e+02,1.941049625969222925e+00,6.959611023737105029e+01,-1.120883487201500373e+01,-5.014198373353618621e+01,-1.100858206777852288e+01,-5.103294838144967827e+01,5.620436618504366066e+01,-3.156951131983410264e+01
8.448559000000000196e+02,1.964242919651297603e+00,6.965610407489873523e+01,-1.129819581559717356e+01,-5.022164774820745237e+01,-1.111807437251509079e+01,-5.111229526680709512e+01,5.663553963011607806e+01,-3.117560885832634909e+01
8.452900499999999511e+02,1.987996252604892877e+00,6.971611555616443923e+01,-1.138996462441698121e+01,-5.030232337622150141e+01,-1.122986988689123145e+01,-5.119147073277309801e+01,5.707860236003574528e+01,-3.077679244233543088e+01
8.457241999999999962e+02,2.012322136750572366e+00,6.977613409877153572e+01,-1.148426199602715414e+01,-5.038396601105314687e+01,-1.134401710769131988e+01,-5.127044051949469150e+01,5.753415993343030976e+01,-3.037330636994945721e+01
8.461583500000000413e+02,2.037233393983671093e+00,6.983614876807091321e+01,-1.158120996017533955e+01,-5.046652573448651680e+01,-1.146056694145664956e+01,-5.134916934153595491e+01,5.800282215840084632e+01,-2.996542174628176625e+01
8.465924999999999727e+02,2.062743182849831491e+00,6.989614824037083451e+01,-1.168093180415054277e+01,-5.054994720771408367e+01,-1.157957286710744782e+01,-5.142762065372454572e+01,5.848520270633184026e+01,-2.955343684253754333e+01
8.470266500000000178e+02,2.088865024291927330e+00,6.995612076230588627e+01,-1.178355200511122014e+01,-5.063416955392397512e+01,-1.170109109031283801e+01,-5.150575639707294329e+01,5.898191877311129616e+01,-2.913767749956364383e+01
8.474607999999999493e+02,2.115612826284491099e+00,7.001605410627367121e+01,-1.188919616884520103e+01,-5.071912623039408885e+01,-1.182518068871475059e+01,-5.158353672460206241e+01,5.949359078438074278e+01,-2.871849758661380037e+01
8.478949499999999944e+02,2.143000907167140312e+00,7.007593552183901409e+01,-1.199799097420780569e+01,-5.080474488807787736e+01,-1.195190374710853831e+01,-5.166091970683385171e+01,6.002084214035460974e+01,-2.829627952612622721e+01
8.483291000000000395e+02,2.171044017482985478e+00,7.013575168299374241e+01,-1.211006412227793660e+01,-5.089094721664333321e+01,-1.208132548166859976e+01,-5.173786101665373849e+01,6.056429899467460132e+01,-2.787143489531100826e+01
8.487632499999999709e+02,2.199757360116477933e+00,7.019548863114445680e+01,-1.222554428905649537e+01,-5.097764877290949670e+01,-1.221351435227198934e+01,-5.181431359316050589e+01,6.112459006065319045e+01,-2.744440511531618299e+01
8.491974000000000160e+02,2.229156608511094984e+00,7.025513171368714893e+01,-1.234456108030940591e+01,-5.106475879061905943e+01,-1.234854216192032084e+01,-5.189022728403903528e+01,6.170234643714427847e+01,-2.701566223865790661e+01
8.496315499999999474e+02,2.259257922731667367e+00,7.031466551801015896e+01,-1.246724498692961980e+01,-5.115217996948483403e+01,-1.248648414218828151e+01,-5.196554846589426546e+01,6.229820144512707003e+01,-2.658570984548603633e+01
8.500656999999999925e+02,2.290077963110921822e+00,7.037407380074900232e+01,-1.259372733894900875e+01,-5.123980824145483837e+01,-1.262741902352540535e+01,-5.204021964188802940e+01,6.291279046489346172e+01,-2.615508405911115375e+01
8.504998500000000377e+02,2.321633901195527816e+00,7.043333941209975535e+01,-1.272414025608233423e+01,-5.132753251215772394e+01,-1.277142908911915775e+01,-5.211417901592036372e+01,6.354675076251051280e+01,-2.572435469102392247e+01
8.509339999999999691e+02,2.353943427672395838e+00,7.049244421497922986e+01,-1.285861659241798094e+01,-5.141523437551251874e+01,-1.291860021087083510e+01,-5.218736004249387150e+01,6.420072129292179852e+01,-2.529412652542735529e+01
8.513681500000000142e+02,2.387024756918315838e+00,7.055136899880153578e+01,-1.299728987258853685e+01,-5.150278779951962349e+01,-1.306902186585846692e+01,-5.225969095130299991e+01,6.487534246570754703e+01,-2.486504075302945083e+01
8.518022999999999456e+02,2.420896627771493392e+00,7.061009338762556808e+01,-1.314029421645371265e+01,-5.159005878129355693e+01,-1.322278713144320861e+01,-5.233109424549421362e+01,6.557125585806538481e+01,-2.443777656354650318e+01
8.522364499999999907e+02,2.455578300070749620e+00,7.066859574241168218e+01,-1.328776424900382480e+01,-5.167690496945243694e+01,-1.337999265692740636e+01,-5.240148617245904461e+01,6.628910385803762040e+01,-2.401305290599541564e+01
8.526706000000000358e+02,2.491089546450012904e+00,7.072685305711299009e+01,-1.343983499184575336e+01,-5.176317525205124781e+01,-1.354073860938595608e+01,-5.247077616594754801e+01,6.702952921935252562e+01,-2.359163042542657251e+01
